
####################################################################
# 			       TL-WR841N  System Log 
# Time = 2017-04-10 23:26:21 11748s
# H-Ver = WR841N v9 00000000 : S-Ver = 3.14.4 Build 140122 Rel.61200n 
# L = 192.168.1.1 : M = 255.255.255.0
# W1 = DHCP : W = 192.168.0.10 : M = 255.255.255.0 : G = 192.168.0.1
####################################################################

May 10 20:40:32	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
May 10 20:40:35	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EA:08:6B:D2:0D:16
May 10 20:40:35	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
May 10 20:40:35	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 20:40:35	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 20:40:47	 DHCP      	INFO   	DHCPS:Recv REQUEST from 00:B3:62:15:ED:55
May 10 20:40:47	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.102
May 10 20:42:20	 DHCP      	INFO   	DHCPC Send REQUEST to server c0a80001 with request ip c0a8000a
May 10 20:42:22	 DHCP      	INFO   	DHCPC Recv ACK from server c0a80001 with ip c0a8000a lease time 3600
May 10 20:42:22	 DHCP      	INFO   	DHCPC:GET ip:c0a8000a mask:ffffff00 gateway:c0a80001 dns1:bd077814 dns2:bd077810 static route:0
May 10 20:42:22	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
May 10 20:43:31	 DHCP      	INFO   	DHCPS:Recv REQUEST from E4:8B:7F:78:8D:9E
May 10 20:43:31	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.103
May 10 20:44:22	 DHCP      	INFO   	DHCPS:Recv REQUEST from E4:8B:7F:78:8D:9E
May 10 20:44:22	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.103
May 10 20:46:15	 DHCP      	INFO   	DHCPS:Recv DISCOVER from D8:5D:E2:DB:12:7B
May 10 20:46:16	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.110
May 10 20:46:16	 DHCP      	INFO   	DHCPS:Recv REQUEST from D8:5D:E2:DB:12:7B
May 10 20:46:16	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.110
May 10 20:47:31	 DHCP      	INFO   	DHCPS:Recv REQUEST from 00:B3:62:15:ED:55
May 10 20:47:31	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.102
May 10 20:50:13	 DHCP      	INFO   	DHCPS:Recv REQUEST from 00:B3:62:15:ED:55
May 10 20:50:13	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.102
May 10 21:10:44	 DHCP      	INFO   	DHCPS:Recv REQUEST from 74:29:AF:30:82:55
May 10 21:10:44	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.106
May 10 21:12:15	 DHCP      	INFO   	DHCPS:Recv REQUEST from 5C:8D:4E:0F:77:81
May 10 21:12:15	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.100
May 10 21:12:21	 DHCP      	INFO   	DHCPC Send REQUEST to server c0a80001 with request ip c0a8000a
May 10 21:12:23	 DHCP      	INFO   	DHCPC Recv ACK from server c0a80001 with ip c0a8000a lease time 3600
May 10 21:12:23	 DHCP      	INFO   	DHCPC:GET ip:c0a8000a mask:ffffff00 gateway:c0a80001 dns1:bd077814 dns2:bd077810 static route:0
May 10 21:12:23	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
May 10 21:20:52	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EA:08:6B:D2:0D:16
May 10 21:20:52	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
May 10 21:21:03	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 21:21:03	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 21:22:19	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EA:08:6B:D2:0D:16
May 10 21:22:19	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
May 10 21:22:19	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 21:22:19	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 21:22:23	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 21:22:23	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 21:22:25	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 21:22:25	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 21:33:08	 DHCP      	INFO   	DHCPS:Recv REQUEST from 74:29:AF:30:82:55
May 10 21:33:08	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.106
May 10 21:42:22	 DHCP      	INFO   	DHCPC Send REQUEST to server c0a80001 with request ip c0a8000a
May 10 21:42:24	 DHCP      	INFO   	DHCPC Recv ACK from server c0a80001 with ip c0a8000a lease time 3600
May 10 21:42:24	 DHCP      	INFO   	DHCPC:GET ip:c0a8000a mask:ffffff00 gateway:c0a80001 dns1:bd077814 dns2:bd077810 static route:0
May 10 21:42:25	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
May 10 21:44:21	 DHCP      	INFO   	DHCPS:Recv REQUEST from E4:8B:7F:78:8D:9E
May 10 21:44:21	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.103
May 10 21:48:16	 DHCP      	INFO   	DHCPS:Recv DISCOVER from 5C:8D:4E:0F:77:81
May 10 21:48:16	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.100
May 10 21:48:17	 DHCP      	INFO   	DHCPS:Recv REQUEST from 5C:8D:4E:0F:77:81
May 10 21:48:17	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.100
May 10 21:52:10	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 21:52:10	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.107
May 10 22:04:20	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EA:08:6B:D2:0D:16
May 10 22:04:20	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
May 10 22:04:22	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EA:08:6B:D2:0D:16
May 10 22:04:22	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
May 10 22:04:22	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 22:04:22	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 22:04:25	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 22:04:25	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 22:12:23	 DHCP      	INFO   	DHCPC Send REQUEST to server c0a80001 with request ip c0a8000a
May 10 22:12:25	 DHCP      	INFO   	DHCPC Recv ACK from server c0a80001 with ip c0a8000a lease time 3600
May 10 22:12:25	 DHCP      	INFO   	DHCPC:GET ip:c0a8000a mask:ffffff00 gateway:c0a80001 dns1:bd077814 dns2:bd077810 static route:0
May 10 22:12:25	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
May 10 22:16:33	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 22:16:33	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.107
May 10 22:28:32	 DHCP      	INFO   	DHCPS:Recv DISCOVER from C4:E9:84:C8:10:60
May 10 22:28:33	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.104
May 10 22:28:33	 DHCP      	INFO   	DHCPS:Recv REQUEST from C4:E9:84:C8:10:60
May 10 22:28:33	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.104
May 10 22:30:20	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EE:08:6B:08:3D:51
May 10 22:30:21	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.105
May 10 22:30:21	 DHCP      	INFO   	DHCPS:Recv REQUEST from EE:08:6B:08:3D:51
May 10 22:30:21	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.105
May 10 22:30:24	 DHCP      	INFO   	DHCPS:Recv REQUEST from EE:08:6B:08:3D:51
May 10 22:30:24	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.105
May 10 22:31:17	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 22:31:17	 DHCP      	INFO   	DHCPS:Server id not found and request an invalid ip
May 10 22:31:17	 DHCP      	INFO   	DHCPS:Send NAK
May 10 22:31:18	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 22:31:18	 DHCP      	INFO   	DHCPS:Server id and requested ip not found
May 10 22:31:18	 DHCP      	INFO   	DHCPS:c0a8016b 0
May 10 22:31:18	 DHCP      	INFO   	DHCPS:Send NAK
May 10 22:31:18	 DHCP      	INFO   	DHCPS:Recv DISCOVER from 2C:AE:2B:08:3D:51
May 10 22:31:18	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.107
May 10 22:31:18	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 22:31:18	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.107
May 10 22:32:49	 DHCP      	INFO   	DHCPS:Recv REQUEST from 74:29:AF:30:82:55
May 10 22:32:49	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.106
May 10 22:42:24	 DHCP      	INFO   	DHCPC Send REQUEST to server c0a80001 with request ip c0a8000a
May 10 22:42:26	 DHCP      	INFO   	DHCPC Recv ACK from server c0a80001 with ip c0a8000a lease time 3600
